date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),MSCI World Index
2021-03-31,174.35805833009996,1.4468625124119083,2.6222542452095396
2021-04-30,193.49319673627468,1.4555084643142586,2.7334086306278293
2021-05-31,206.29359446892192,1.4641495725460758,2.7708755257828384
2021-06-30,206.34566201503677,1.4677920127872919,2.80405826452719
2021-07-31,207.7419692503488,1.4627885011261554,2.820571740146446
2021-08-31,201.7756660366014,1.4646048775762293,2.887015111388072
2021-09-30,195.83235554102177,1.4450412922913007,2.763319831749499
2021-10-31,198.89554248154795,1.4605119759753962,2.902438074466434
2021-11-30,187.17354680239094,1.438671865539708,2.8296074154852837
2021-12-31,188.34184530950822,1.4504177665835194,2.9398270758685205
2022-01-31,196.4339606973826,1.4203046668765618,2.793971023523918
2022-02-28,187.44964419079457,1.4107238865612386,2.7185698706963746
2022-03-31,197.10545817358823,1.4070766026494907,2.7713039414239007
2022-04-30,213.97003868577647,1.3600833111331798,2.5458404735940214
2022-05-31,218.9749854329125,1.3546051197597575,2.5424910422184177
2022-06-30,222.67622308879487,1.3089825870044358,2.324232746533731
2022-07-31,218.4706212750156,1.3336174953379711,2.4837085215765726
2022-08-31,230.1968377572939,1.3181080622896064,2.387860258607261
2022-09-30,232.87498609884057,1.265636579399872,2.155207197382771
2022-10-31,239.19785939528077,1.2843428350003658,2.283743573765385
2022-11-30,224.88252966853892,1.335443559129111,2.4572285402710707
2022-12-31,222.20576851583195,1.324540456758134,2.3577737965415175
2023-01-31,215.28850265501248,1.3631687292630392,2.5251791556317165
2023-02-28,237.59712806570428,1.3515293889709652,2.4498481071818023
2023-03-31,230.21681957081344,1.3594439466227544,2.5189359713350963
2023-04-30,255.35779586656255,1.3664236758615709,2.551008724100325
2023-05-31,265.42445565556307,1.357583977137878,2.517428727216076
2023-06-30,262.6729862166311,1.3882976919909928,2.6594524069169627
2023-07-31,256.39112838257165,1.415291467874358,2.7539686867113233
2023-08-31,263.12076244774073,1.4069167615218838,2.6723399283377445
2023-09-30,272.8701912632704,1.3976072267564381,2.558108739679075
2023-10-31,274.91708977253154,1.3803879780097377,2.4795723632964624
2023-11-30,264.9130475766164,1.4255309873822404,2.7043932076647432
2023-12-31,255.53998668038363,1.457944830592626,2.8314223399283356
2024-01-31,263.51734986783725,1.4521324259523898,2.8463857298644624
2024-02-29,299.77739002367747,1.4748976774599818,2.9649556005608346
2024-03-31,316.9173691018008,1.496209827807516,3.051814924443059
2024-04-30,348.97980255216544,1.4782882468334537,2.946755725190839
2024-05-31,338.3305501216871,1.4981472960209286,3.059421249415795
2024-06-30,327.0817543854788,1.5029909665544585,3.123578439009188
2024-07-31,314.5150780060178,1.5199438134218146,3.170879420470476
2024-08-31,307.12024858272355,1.5315686227022876,3.246930986134909
2024-09-30,305.00137098755465,1.5538495071565275,3.3174287272160754
2024-10-31,310.2275574305568,1.5446465331428203,3.241560211871005
2024-11-30,307.5908735741297,1.5800053280375914,3.3591252531546933
2024-12-31,312.96627743231164,1.5213969145818746,3.2767253466271966
2025-01-31,312.40759677177624,1.5460996343028797,3.384639351923972
2025-02-28,316.2609622918059,1.5368966602891725,3.360916809471878
2025-03-31,329.4476250228785,1.516553244048345,3.221510359869137
2025-04-30,320.7155054473349,1.5126783076215213,3.2463701511138803
2025-05-31,308.0924604641301,1.5417403308227036,3.425362205951082
2025-06-30,308.91470515552754,1.5654743164370026,3.5749065274964917
2025-07-31,329.9771527140208,1.5793756508682353,3.62059900295996
